,Title,Published_date,Views,Likes,Comments,Month
139,HE DROVE HIS CAR OVER MY FOOT | Indian Daily Observations #35 2021 | Road Rage | Bad Mumbai Drivers,2021-03-07,237555,13348,761,Mar
140,CRASHED:DON'T DO THIS | Indian Daily Observations #34 2021 | Mumbai Bad Drivers Accident | Road Rage,2021-02-28,267454,13190,810,Feb
141,NATUREGASM 4K: Konkan to Mumbai by Road | Solo Bike Ride | Daily Observations #33 2020 | Ep.03 of 4,2021-02-14,80710,4988,753,Feb
142,1 Bike 4 People | Indian Daily Observations #32 2021 | Road Rage | Bad Drivers Mumbai,2021-01-31,674985,27451,1812,Jan
143,BEST TANK BAG UNDER 1000 | Magnetic Mobile Tank Pouch | Golden Riders M-Poche Review | Royal Enfield,2021-01-24,43381,2074,513,Jan
144,CRASHED: HIT BY A BUS | Road Rage | Indian Daily Observations #31 2021 | Mumbai Bad Drivers Accident,2021-01-13,1295019,42974,1869,Jan
145,Bullet Rider Wants A Helicopter | MiniClip #6,2021-01-11,63237,2454,145,Jan
146,MUMBAI NIGHT OUT RIDE 4K | Last Ride Of The Year | Indian Daily Observations #30 2021 |Golden Riders,2021-01-04,189588,9290,393,Jan
147,HOW TO NOT FILTER THROUGH TRAFFIC | MiniClip #5,2021-01-02,28184,1345,52,Jan
148,FOR THE LOVE OF RIDING | Mumbai to Konkan by Road | Solo Bike Ride | Daily Observations#29 2020 | 02,2020-12-26,134251,7476,613,Dec
149,INDIAN GHATS: Mumbai to Konkan by Road | Solo Bike Ride | Daily Observations#28 2020 | Ep.01 of 4,2020-12-19,126790,5683,397,Dec
150,DHOOM 4 in 144p | MiniClip #4,2020-12-16,96393,3525,95,Dec
151,RIDING JACKET TIPS | SAFETY vs PRICE? | Rynox Tornado Pro 3 Jacket Review | Best Gear India,2020-12-11,34087,2780,212,Dec
152,THERE WILL BE FLYING CARS IN 2020 | MiniClip #3,2020-12-09,21985,1091,59,Dec
153,IS IT GOING TO EXPLODE? | KTM RC | Indian Daily Observations #27 2020 | Road Rage | Mumbai Traffic,2020-12-04,569161,23627,657,Dec
154,When Avengers assemble in Mumbai | MiniClip #2,2020-12-02,12180,860,30,Dec
